"Cattle and calves, farm and meat production"
"Frequency: Annual"
"Table: 32-10-0125-01 (formerly CANSIM 003-0026)"
"Release date: 2022-02-28"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,
"Livestock statistics","Total slaughterings, farm and meat production 1",,"Inspected slaughterings of farm production 2",,"Uninspected slaughterings of farm production",,"Estimated output of farm production",,"Live imports for slaughter of farm production",,"Live exports of farm production",,"Average cold dressed weight of meat production 3 4 5",,"Edible offal, meat production 4",
"Livestock","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle","Calves","Cattle","Calves"
"Reference period"
,"Head",,,,,,,,,,,,"Kilograms",,"Tonnes",
"1920","1,091.4","553.9","0.0","0.0","1,091.4","553.9","1,328.0","628.4","4.1","0.0","240.7","74.5","..","..","..",".."
"1921","933.1","511.3","0.0","0.0","933.1","511.3","1,104.9","569.0","2.8","0.0","174.6","57.7","..","..","..",".."
"1922","990.8","634.2","532.5","299.2","458.3","335.0","1,202.7","662.0","0.6","0.0","212.5","27.8","..","..","..",".."
"1923","979.4","608.8","536.5","275.7","442.9","333.1","1,139.9","633.0","0.3","0.0","160.8","24.2","..","..","..",".."
"1924","977.4","669.6","578.1","321.5","399.3","348.1","1,160.4","705.0","0.2","0.0","183.2","35.4","..","..","..",".."
"1925","1,050.9","705.2","639.1","336.7","411.8","368.5","1,255.0","768.0","0.3","0.0","204.4","62.8","..","..","..",".."
"1926","1,074.7","709.4","739.8","374.2","334.9","335.2","1,250.5","775.0","0.5","0.0","176.3","65.6","..","..","..",".."
"1927","1,124.2","775.9","733.4","414.7","390.8","361.2","1,339.9","855.0","0.5","0.0","216.2","79.1","..","..","..",".."
"1928","1,081.5","783.8","699.4","416.0","382.1","367.8","1,250.5","860.0","0.3","0.0","169.3","76.2","..","..","..",".."
"1929","1,064.6","774.1","701.9","414.8","362.7","359.3","1,227.1","865.0","0.1","0.0","162.6","90.9","..","..","..",".."
"1930","943.2","809.2","602.0","376.2","341.2","433.0","970.4","845.0","0.4","0.0","27.6","35.8","..","..","..",".."
"1931","970.1","798.9","592.0","371.1","378.1","427.8","1,010.1","815.0","0.2","0.0","40.2","16.1","..","..","..",".."
"1932","936.5","817.2","553.1","383.4","383.4","433.8","965.0","822.0","0.0","0.0","28.5","4.8","..","..","..",".."
"1933","996.6","910.0","654.0","438.4","342.6","471.6","1,055.8","911.0","0.0","0.0","59.2","1.0","..","..","..",".."
"1934","1,135.9","994.7","804.3","542.8","331.6","451.9","1,199.6","996.0","0.0","0.0","63.7","1.3","..","..","..",".."
"1935","1,274.7","1,205.7","789.7","586.9","485.0","618.8","1,387.5","1,227.3","0.0","0.0","112.8","21.6","..","..","..",".."
"1936","1,336.2","1,247.6","920.2","602.6","416.0","645.0","1,569.8","1,299.4","0.0","0.0","233.6","51.8","..","..","..",".."
"1937","1,397.9","1,478.3","924.0","702.4","473.9","775.9","1,620.0","1,577.9","0.0","0.0","222.1","99.6","..","..","..",".."
"1938","1,389.0","1,388.9","859.3","676.6","529.7","712.3","1,518.8","1,438.3","0.0","0.0","129.8","49.4","..","..","..",".."
"1939","1,337.2","1,347.7","873.7","679.1","463.5","668.6","1,546.0","1,432.3","0.0","0.0","208.8","84.6","..","..","..",".."
"1940","1,402.5","1,419.0","890.9","703.9","511.6","715.1","1,559.8","1,495.5","0.0","0.0","157.3","76.5","..","..","..",".."
"1941","1,515.5","1,307.5","1,003.7","727.8","511.8","579.7","1,708.7","1,368.4","0.0","0.0","193.2","60.9","..","..","..",".."
"1942","1,525.5","1,327.7","970.4","666.7","555.1","661.0","1,686.9","1,382.1","0.0","0.0","161.4","54.4","..","..","..",".."
"1943","1,585.6","1,198.9","1,021.1","594.1","564.5","604.8","1,646.0","1,201.2","0.0","0.0","60.4","2.3","..","..","..",".."
"1944","1,872.3","1,250.4","1,354.1","661.2","518.2","589.2","1,930.1","1,251.8","0.0","0.0","57.8","1.4","..","..","..",".."
"1945","2,400.6","1,418.9","1,819.0","787.6","581.6","631.3","2,477.8","1,421.2","0.0","0.0","77.2","2.3","..","..","..",".."
"1946","2,215.9","1,333.9","1,668.4","752.3","547.5","581.6","2,319.1","1,335.3","0.0","0.0","103.2","1.4","..","..","..",".."
"1947","1,944.1","1,287.2","1,291.8","665.3","652.3","621.9","2,026.8","1,287.7","0.0","0.0","82.7","0.5","..","..","..",".."
"1948","1,939.4","1,361.9","1,489.9","787.4","449.5","574.5","2,385.9","1,372.8","0.0","0.0","446.5","10.9","..","..","..",".."
"1949","1,843.4","1,285.3","1,439.5","766.3","403.9","519.0","2,232.5","1,316.8","0.0","0.0","389.1","31.5","..","..","..",".."
"1950","1,673.5","1,282.4","1,284.7","773.2","388.8","509.2","2,106.7","1,308.0","0.0","0.0","433.2","25.6","..","..","..",".."
"1951","1,591.8","1,039.5","1,149.8","583.7","442.0","455.8","1,819.5","1,050.9","0.0","0.0","227.7","11.4","..","..","..",".."
"1952","1,719.4","968.6","1,237.6","567.8","481.8","400.8","1,731.2","969.1","3.1","0.0","14.9","0.5","..","..","..",".."
"1953","2,004.6","1,165.4","1,469.4","740.7","535.2","424.7","2,070.3","1,167.6","1.6","0.0","67.3","2.2","..","..","..",".."
